Category,asin,Rank,Product Name,Rating,Rating Count,Price,tag,Short Name
Capsule Drawers,B07D7M93ZW,7,EVERIE Coffee Pod Holder Drawer Compatible with Keurig K Cup Pods (Holds 18 Pods),4.7,2333,3082,Coffee pod holder drawer,EVERIE Coffee Pod Holder Drawer Compatible with Keurig K Cup Pods 
Coffee Capsule Holders,B07D7M93ZW,15,EVERIE Coffee Pod Holder Drawer Compatible with Keurig K Cup Pods (Holds 18 Pods),4.7,2333,3082,Coffee pod holder drawer,EVERIE Coffee Pod Holder Drawer Compatible with Keurig K Cup Pods 
Coffee Capsule Holders,B07Z3Y8VJB,26,"EVERIE Tempered Glass Top Holder Drawer Compatible with Nespresso Capsules Coffee Pods, Holds 54 Pods",4.7,1347,8747,Coffee pod holder drawer,EVERIE Tempered Glass Top Holder Drawer Compatible with Nespresso Capsules Coffee Pods
Capsule Drawers,B0B1H7CBFV,22,Flagship for Vertuo Pod Holder Coffee Pod Organizer for Nespresso Pod Storage Glass Top(50 Pods Capacity),4.7,213,11688,Coffee pod organizer,Flagship for Vertuo Pod Holder Coffee Pod Organizer for Nespresso Pod Storage Glass Top
Capsule Drawers,B00JZCBN4G,16,"Mind Reader 'Hero' 36 Capacity Single Serve Coffee Pod Storage Drawer, Silver/ Grey",4.4,1855,5100,Coffee pod storage drawer,Mind Reader 'Hero' 36 Capacity Single Serve Coffee Pod Storage Drawer
Capsule Drawers,B07BC8DKN1,27,"Keurig Under Brewer Storage Drawer, K-Cup Pod Organizer Holds 35 Coffee Pods, Fits Under Keurig K-Cup Pod Coffee Makers, Black",4.7,11588,9600,Coffee pod storage drawer,Keurig Under Brewer Storage Drawer
Capsule Drawers,B07S1QLVXY,29,"Nifty Home Products 24 Coffee Pod Capacity Storage Drawer Rolling K-Cup Holder, 12.75x8.25x3, Black",4.7,3479,5914.62,Coffee pod storage drawer,Nifty Home Products 24 Coffee Pod Capacity Storage Drawer Rolling K-Cup Holder
Capsule Drawers,B078Z43GF2,28,"Mind Reader 72 Capacity Double K-Cup Coffee Pod Storage Organizer Drawer Metal Mesh, Black",4.2,1889,10393,Coffee pod storage organizer drawer,Mind Reader 72 Capacity Double K-Cup Coffee Pod Storage Organizer Drawer Metal Mesh
Disposable Coffee Filters,B075M22WK3,28,Toddy® Cold Brew System Home - Paper Filter Bags,4.9,1885,2299,Cold Brew System,Toddy® Cold Brew System Home - Paper Filter Bags
Espresso Machines,B06ZY7R238,3,"Nespresso Essenza Mini Espresso Machine by De'Longhi, Red",4.6,1818,14340,Compact Espresso Machine,Nespresso Essenza Mini Espresso Machine by De'Longhi
Espresso Machines,B06ZYSM2GR,16,"Nespresso Essenza Mini espresso Machine by De'Longhi, Black",4.5,3400,17299,Compact Espresso Machine,Nespresso Essenza Mini espresso Machine by De'Longhi
Pots & Pans,B00IYJEI4S,21,"Hawkins Futura 28 cm Tava, Hard Anodised Tawa with Stainless Steel Handle, Black (AT28)",4.3,12369,1090,Cooking Pan,Hawkins Futura 28 cm Tava
Cookware,B00IYJEI4S,21,"Hawkins Futura 28 cm Tava, Hard Anodised Tawa with Stainless Steel Handle, Black (AT28)",4.3,12369,1090,Cooking Pan,Hawkins Futura 28 cm Tava
Pots & Pans,B0B5XRDRFH,12,"Milton Pro Cook Kitchen Jewel Plus Set of 5 (Fry pan 24 cm/1.6 litres; Kadhai 24 cm/2.5 litres with Glass lid; Tawa 25 cm), Peach | Induction | Dishwasher | Hot Plate | Flame Safe",4.1,2144,1699,Cookware Set,Milton Pro Cook Kitchen Jewel Plus Set of 5 
Home & Kitchen,B0BLK9X25W,21,ALOXE Cosmetic Organizer Box Drawers Storage Plastic Stationary Box | Make Up Organiser For Women,4.1,2155,329,Cosmetic Organizer Box,ALOXE Cosmetic Organizer Box Drawers Storage Plastic Stationary Box 
Stir-Fry Pans,B09M417GLS,24,"OLRADA Iron Kadhai Deep Bottom Kadai, Frying Kadhai with Golden Rings, Black 8inch",3.8,376,349,Deep Bottom Kadhai,OLRADA Iron Kadhai Deep Bottom Kadai
Frying Pans,B00EVQZEO6,16,"Hawkins Futura 1.5 Litre Deep Fry Pan, Hard Anodised Kadai, Round Bottom Kadhai, Small Kadai, Black (AK15)",4.4,4850,971,Deep Fry Pan,Hawkins Futura 1.5 Litre Deep Fry Pan
Frying Pans,B00EVQXLKU,27,"Hawkins Futura 2.5 Litre Deep Fry Pan, Hard Anodised Kadai with Stainless Steel Lid, Flat Bottom Kadhai, Black (AD25S)",4.4,4894,1818,Deep Fry Pan with Lid,Hawkins Futura 2.5 Litre Deep Fry Pan
Stir-Fry Pans,B07P6R6JYP,9,"Amazon Brand - Solimo Heavy gauge, Non-toxic, Hard Anodized Deep Kadhai (Black, 1 L, Aluminium, 18 cm)",4.2,982,549,Deep Kadhai,Amazon Brand - Solimo Heavy gauge
Kadhai & Woks,B07P6R6JYP,18,"Amazon Brand - Solimo Heavy gauge, Non-toxic, Hard Anodized Deep Kadhai (Black, 1 L, Aluminium, 18 cm)",4.2,982,549,Deep Kadhai,Amazon Brand - Solimo Heavy gauge
Stir-Fry Pans,B09BLFWT53,12,"Hawkins Futura 5 Litre Deep Kadhai, Non Stick Kadai with Glass Lid, Flat Bottom Induction Kadhai, Black (INK50G)",4.5,1439,2542,Deep Non Stick Kadhai with Glass Lid,Hawkins Futura 5 Litre Deep Kadhai
Kadhai & Woks,B09BLFWT53,21,"Hawkins Futura 5 Litre Deep Kadhai, Non Stick Kadai with Glass Lid, Flat Bottom Induction Kadhai, Black (INK50G)",4.5,1439,2542,Deep Non-Stick Kadhai with Lid,Hawkins Futura 5 Litre Deep Kadhai
Kadhai & Woks,B08SQ3454H,14,"Hawkins 4 Litre Deep Kadhai, Triply Stainless Steel Kadai with Glass Lid, Flat Bottom Induction Kadhai, Big Kadai, Silver (SSK40G)",4.5,1276,2579,Deep Stainless Steel Kadhai,Hawkins 4 Litre Deep Kadhai
Stir-Fry Pans,B08SQ3454H,8,"Hawkins 4 Litre Deep Kadhai, Triply Stainless Steel Kadai with Glass Lid, Flat Bottom Induction Kadhai, Big Kadai, Silver (SSK40G)",4.5,1276,2579,Deep Stainless Steel Kadhai with Glass Lid,Hawkins 4 Litre Deep Kadhai
Electric Kettles,B07Y2YQFG8,26,V-Guard VKS17-DG Digital Electric Kettle 1.7 Litre with Digital Controls & Variable Temperature Settings | Multicolor LED indicators | Hot water kettle for Fast Boiling water,4.4,1625,2099,Digital Electric Kettle,V-Guard VKS17-DG Digital Electric Kettle 1.7 Litre with Digital Controls & Variable Temperature Settings 
Kettles & Tea Machines,B07Y2YQFG8,26,V-Guard VKS17-DG Digital Electric Kettle 1.7 Litre with Digital Controls & Variable Temperature Settings | Multicolor LED indicators | Hot water kettle for Fast Boiling water,4.4,1625,2099,Digital Electric Kettle with Variable Temperature Settings,V-Guard VKS17-DG Digital Electric Kettle 1.7 Litre with Digital Controls & Variable Temperature Settings 
Disposable Coffee Filters,B076MCYZ9R,14,"CAFEC Abaca Cone-Shaped Coffee Paper Filter, Size 4, White, Pack of 100 | Use for V60, Flower Dripper, Pour Over | 100% Environmentally Friendly | Disposable Paper Coffee Filters (AC4-100W)",4.6,1086,649,Disposable Coffee Paper Filters,CAFEC Abaca Cone-Shaped Coffee Paper Filter
Coffee Filters,B076MCYZ9R,18,"CAFEC Abaca Cone-Shaped Coffee Paper Filter, Size 4, White, Pack of 100 | Use for V60, Flower Dripper, Pour Over | 100% Environmentally Friendly | Disposable Paper Coffee Filters (AC4-100W)",4.6,1086,649,Disposable Coffee Paper Filters,CAFEC Abaca Cone-Shaped Coffee Paper Filter
Tea Filters,B09W2571WC,7,100 Pcs Sichumaria Transparent White Disposable Tea Filter Bags Empty Dip Tea Bags Filter Tea Bags Cups for Loose Leaf Teal (5.5x7cm),4.4,114,258,Disposable Tea Filter Bags,100 Pcs Sichumaria Transparent White Disposable Tea Filter Bags Empty Dip Tea Bags Filter Tea Bags Cups for Loose Leaf Teal 
Coffee Maker Accessories,B09W2571WC,13,100 Pcs Sichumaria Transparent White Disposable Tea Filter Bags Empty Dip Tea Bags Filter Tea Bags Cups for Loose Leaf Teal (5.5x7cm),4.4,114,258,Disposable Tea Filter Bags,100 Pcs Sichumaria Transparent White Disposable Tea Filter Bags Empty Dip Tea Bags Filter Tea Bags Cups for Loose Leaf Teal 
Tea Filters,B07CZXCTHB,15,"HASTHIP® 100 Pcs Disposable Tea Filter Bags, New Non-Woven Fabrics Empty Tea Bag with String Heal Filter Paper for Tea Leaf",4.1,337,258,Disposable Tea Filter Bags,HASTHIP® 100 Pcs Disposable Tea Filter Bags
Coffee Maker Accessories,B07CZXCTHB,29,"HASTHIP® 100 Pcs Disposable Tea Filter Bags, New Non-Woven Fabrics Empty Tea Bag with String Heal Filter Paper for Tea Leaf",4.1,337,299,Disposable Tea Filter Bags,HASTHIP® 100 Pcs Disposable Tea Filter Bags
Kettles & Tea Machines,B0B319W6FN,29,"Havells Caro 1.5 litre Double Wall, 304 Stainless Steel Inner Body, Cool touch outer body, Wider mouth, 2 Year warranty (White, 1250 Watt)",4.2,262,1645,Double Wall Electric Kettle,Havells Caro 1.5 litre Double Wall
Electric Kettles,B0B319W6FN,29,"Havells Caro 1.5 litre Double Wall, 304 Stainless Steel Inner Body, Cool touch outer body, Wider mouth, 2 Year warranty (White, 1250 Watt)",4.2,262,1645,Double Wall Electric Kettle,Havells Caro 1.5 litre Double Wall
Electric Kettles,B07GVLMRBT,9,"Havells Aqua Plus 1.2 litre Double Wall Kettle / 304 Stainless Steel Inner Body / Cool touch outer body / Wider mouth/ 2 Year warranty (Blue, 1250 Watt)",4.5,10190,1509,Double Wall Kettle,Havells Aqua Plus 1.2 litre Double Wall Kettle 
Kettles & Tea Machines,B07GVLMRBT,9,"Havells Aqua Plus 1.2 litre Double Wall Kettle / 304 Stainless Steel Inner Body / Cool touch outer body / Wider mouth/ 2 Year warranty (Blue, 1250 Watt)",4.5,10190,1509,Double Wall Kettle,Havells Aqua Plus 1.2 litre Double Wall Kettle 
"Coffee, Tea & Espresso",B07GVLMRBT,11,"Havells Aqua Plus 1.2 litre Double Wall Kettle / 304 Stainless Steel Inner Body / Cool touch outer body / Wider mouth/ 2 Year warranty (Blue, 1250 Watt)",4.5,10190,1509,Double Wall Kettle,Havells Aqua Plus 1.2 litre Double Wall Kettle 
Electric Kettles,B09ZV8JZ9P,27,"Havells Altro 1.5 Litre Double Wall Kettle / 304 Stainless Steel Inner Body/Cool Touch Outer Body/Wider Mouth/ 2 Year Warranty (Black, 1250 Watt)",4.2,1063,1640,Double Wall Kettle,Havells Altro 1.5 Litre Double Wall Kettle 
Kettles & Tea Machines,B09ZV8JZ9P,27,"Havells Altro 1.5 Litre Double Wall Kettle / 304 Stainless Steel Inner Body/Cool Touch Outer Body/Wider Mouth/ 2 Year Warranty (Black, 1250 Watt)",4.2,1063,1640,Double Wall Kettle,Havells Altro 1.5 Litre Double Wall Kettle 
Capsule Drawers,B09FMVDZ1W,8,Premium Storage Drawer for Bartesian Capsules by Ksestor - Holds up to 40 Bartesian Pods - BEV Black Decker Cocktail Maker Compatible - Sturdy and Stackable Bartesian Pod Holder - Bartesian,4.7,819,11451,Drawer for Capsules,Premium Storage Drawer for Bartesian Capsules by Ksestor - Holds up to 40 Bartesian Pods - BEV Black Decker Cocktail Maker Compatible - Sturdy and Stackable Bartesian Pod Holder - Bartesian
Drip Coffee Machines,B08KS2KQTK,2,"PAJAKA Madras Kaapi Kappi Maker - Stainless Steel Drip Coffee Brewer for South Indian Filter Coffee, 200 ML Capacity, Medium Size, 2-4 Cup Mug Decoction Dripper for Home & Kitchen",4.2,2440,275,Drip Coffee Brewer,PAJAKA Madras Kaapi Kappi Maker - Stainless Steel Drip Coffee Brewer for South Indian Filter Coffee
"Coffee, Tea & Espresso",B08KS2KQTK,15,"PAJAKA Madras Kaapi Kappi Maker - Stainless Steel Drip Coffee Brewer for South Indian Filter Coffee, 200 ML Capacity, Medium Size, 2-4 Cup Mug Decoction Dripper for Home & Kitchen",4.2,2440,275,Drip Coffee Brewer,PAJAKA Madras Kaapi Kappi Maker - Stainless Steel Drip Coffee Brewer for South Indian Filter Coffee
Drip Coffee Machines,B09G9MVJ64,5,Morphy Richards Europa Drip Espresso Coffee Machine For Home|600W Drip Coffee Maker|6-Cups Capacity*|Anti-Drip Function|Dry Heat Protection|Warming Plate|2-Yr Warranty By Brand|Black,4.1,640,1499,Drip Coffee Machine,Morphy Richards Europa Drip Espresso Coffee Machine For Home
"Coffee, Tea & Espresso",B09G9MVJ64,22,Morphy Richards Europa Drip Espresso Coffee Machine For Home|600W Drip Coffee Maker|6-Cups Capacity*|Anti-Drip Function|Dry Heat Protection|Warming Plate|2-Yr Warranty By Brand|Black,4.1,640,1499,Drip Coffee Machine,Morphy Richards Europa Drip Espresso Coffee Machine For Home
Drip Coffee Machines,B0B1WSPY1Z,3,"AGARO Royal 4 Big Cups Drip Coffee Maker, 600 Ml Borosilicate Glass Carafe Jar, 750W, Water tank with Level Indicator, Brewer Machine with Cone Filter, Auto Shut Off, Stainless Steel Body, Black",4.3,732,1599,Drip Coffee Maker,AGARO Royal 4 Big Cups Drip Coffee Maker
Drip Coffee Machines,B00FBB0FBC,7,Preethi Dripcafe Coffee Maker (White),4.4,1467,2599,Drip Coffee Maker,Preethi Dripcafe Coffee Maker 
Drip Coffee Machines,B09H7JDJCW,9,"PHILIPS Drip Coffee Maker HD7432/20, 0.6 L, Ideal for 2-7 cups, 750W, Black, Medium",4.1,2548,3348,Drip Coffee Maker,PHILIPS Drip Coffee Maker HD7432
Drip Coffee Machines,B0098ZXQ7C,15,"Preethi Cafe Zest CM210 Drip Coffee Maker (Black), 31 Cup",4.2,1266,2319,Drip Coffee Maker,Preethi Cafe Zest CM210 Drip Coffee Maker 
"Coffee, Tea & Espresso",B0B1WSPY1Z,16,"AGARO Royal 4 Big Cups Drip Coffee Maker, 600 Ml Borosilicate Glass Carafe Jar, 750W, Water tank with Level Indicator, Brewer Machine with Cone Filter, Auto Shut Off, Stainless Steel Body, Black",4.3,732,1599,Drip Coffee Maker,AGARO Royal 4 Big Cups Drip Coffee Maker
Drip Coffee Machines,B078YHJSQW,17,Black+Decker BXCM1201IN 12-Cup Drip Coffee Maker,4.2,704,2499,Drip Coffee Maker,Black+Decker BXCM1201IN 12-Cup Drip Coffee Maker
"Coffee, Tea & Espresso",B07WJ4NG21,19,"Pigeon Brewster Coffee Maker, 600 Watt, 4 Cups Drip Coffee maker (Black)",3.6,3913,1099,Drip Coffee Maker,Pigeon Brewster Coffee Maker
Home & Kitchen,B08DHT1Z6N,7,SHALIMAR Premium Eco - Friendly Garbage Bags Size 19 X 21 Inches (Medium) 120 Bags (4 Rolls) Dustbin Bag/Trash Bag - Green Color,4.5,29131,309,Eco-Friendly Garbage Bags,SHALIMAR Premium Eco - Friendly Garbage Bags Size 19 X 21 Inches 
Home & Kitchen,B07KT9Q54M,17,Shalimar Premium Eco - Friendly Garbage Bags (Medium) Size 19 x 21 Inches 4 Rolls 120 Bags Dustbin Bag/Trash Bag - Black Color,4.5,28525,299,Eco-Friendly Garbage Bags,Shalimar Premium Eco - Friendly Garbage Bags 
Electric Grinders,B09T6NW5GC,1,"AGARO Grand Coffee Grinder, Stainless Steel Electric, Capacity 60 GMS Dry Coffee Bean, Silver",4.3,581,1349,Electric Coffee Grinder,AGARO Grand Coffee Grinder
Coffee Grinders,B09T6NW5GC,1,"AGARO Grand Coffee Grinder, Stainless Steel Electric, Capacity 60 GMS Dry Coffee Bean, Silver",4.3,581,1349,Electric Coffee Grinder,AGARO Grand Coffee Grinder
Burr Grinders,B01G82WTZ2,11,Baratza Sette 270W - Conical Burr (with Grounds Bin and Built-in PortaHolder),4.3,371,100832,Electric Coffee Grinder,Baratza Sette 270W - Conical Burr 
Manual Grinders,B0BP1DH5WP,19,"Wonderchef Regalia Electric Coffee Grinder|31 Grinding Settings|Set Variable Coffee Texture, Fine, Medium, Coarse|2 Year Warranty",3.8,866,6998,Electric Coffee Grinder,Wonderchef Regalia Electric Coffee Grinder
Milk Frothers,B00Q4O5MY0,17,"Ikea Milk Frother 100.763.20, Silver",3.6,738,299,Electric Frother,Ikea Milk Frother 100.763.20
Electric Kettles,B07YR26BJ3,10,"KENT Elegant Electric Glass Kettle (16052), 1.8L, Stainless Steel Heating Plate, Borosilicate Glass Body, Boil Drying Protection",4,16711,1349,Electric Glass Kettle,KENT Elegant Electric Glass Kettle 
Kettles & Tea Machines,B07YR26BJ3,10,"KENT Elegant Electric Glass Kettle (16052), 1.8L, Stainless Steel Heating Plate, Borosilicate Glass Body, Boil Drying Protection",4,16711,1349,Electric Glass Kettle,KENT Elegant Electric Glass Kettle 
"Coffee, Tea & Espresso",B07YR26BJ3,12,"KENT Elegant Electric Glass Kettle (16052), 1.8L, Stainless Steel Heating Plate, Borosilicate Glass Body, Boil Drying Protection",4,16711,1349,Electric Glass Kettle,KENT Elegant Electric Glass Kettle 
Electric Kettles,B09JLZFG8W,14,"Borosil Electric Glass Kettle, Borosilicate Glass, Extra Long Cord, Dry-boil Protection, 360° Rotating Base, 1.8 L, Transparent",4.2,439,1790,Electric Glass Kettle,Borosil Electric Glass Kettle
Kettles & Tea Machines,B09JLZFG8W,14,"Borosil Electric Glass Kettle, Borosilicate Glass, Extra Long Cord, Dry-boil Protection, 360° Rotating Base, 1.8 L, Transparent",4.2,439,1790,Electric Glass Kettle,Borosil Electric Glass Kettle
"Coffee, Tea & Espresso",B09JLZFG8W,23,"Borosil Electric Glass Kettle, Borosilicate Glass, Extra Long Cord, Dry-boil Protection, 360° Rotating Base, 1.8 L, Transparent",4.2,439,1790,Electric Glass Kettle,Borosil Electric Glass Kettle
Electric Grinders,B08M6B1M3P,12,SToK Stainless Steel (St-Cg01-Ss) Coffee & Spice Grinder | 200 Watt Power - Silver (1 Year Offsite Warranty),3.9,191,999,Electric Grinder,SToK Stainless Steel 
Coffee Grinders,B08M6B1M3P,21,SToK Stainless Steel (St-Cg01-Ss) Coffee & Spice Grinder | 200 Watt Power - Silver (1 Year Offsite Warranty),3.9,191,999,Electric Grinder,SToK Stainless Steel 
Electric Grinders,B08JTL9S92,9,"DR MILLS Stainless Steel Dm-7452 Electric Dried Spice And Coffee Grinder, Grinder And Chopper,Detachable Cup, Ok For Clean It With Water, Blade & Cup Made With Sus304 Stianlees Steel",4.2,816,2490,Electric Grinder and Chopper,DR MILLS Stainless Steel Dm-7452 Electric Dried Spice And Coffee Grinder
"Coffee, Tea & Espresso",B01MQZ7J8K,2,Prestige 1.5 Litres Electric Kettle (PKOSS 1.5)|1500W | Silver - Black| Automatic Cut-off | Stainless Steel | Rotatable Base | Power Indicator | Single-Touch Lid Locking,3.9,71552,699,Electric Kettle,Prestige 1.5 Litres Electric Kettle 
Electric Kettles,B01MQZ7J8K,2,Prestige 1.5 Litres Electric Kettle (PKOSS 1.5)|1500W | Silver - Black| Automatic Cut-off | Stainless Steel | Rotatable Base | Power Indicator | Single-Touch Lid Locking,3.9,71552,699,Electric Kettle,Prestige 1.5 Litres Electric Kettle 
Kettles & Tea Machines,B01MQZ7J8K,2,Prestige 1.5 Litres Electric Kettle (PKOSS 1.5)|1500W | Silver - Black| Automatic Cut-off | Stainless Steel | Rotatable Base | Power Indicator | Single-Touch Lid Locking,3.9,71552,699,Electric Kettle,Prestige 1.5 Litres Electric Kettle 
Electric Kettles,B091V8HK8Z,8,"Milton Euroline Go Electro 2.0 Stainless Steel Electric Kettle, 1 Piece, 2 Litres, Silver | Power Indicator | 1500 Watts | Auto Cut-off | Detachable 360 Degree Connector | Boiler for Water",3.9,3414,995,Electric Kettle,Milton Euroline Go Electro 2.0 Stainless Steel Electric Kettle
Kettles & Tea Machines,B091V8HK8Z,8,"Milton Euroline Go Electro 2.0 Stainless Steel Electric Kettle, 1 Piece, 2 Litres, Silver | Power Indicator | 1500 Watts | Auto Cut-off | Detachable 360 Degree Connector | Boiler for Water",3.9,3414,995,Electric Kettle,Milton Euroline Go Electro 2.0 Stainless Steel Electric Kettle
"Coffee, Tea & Espresso",B091V8HK8Z,10,"Milton Euroline Go Electro 2.0 Stainless Steel Electric Kettle, 1 Piece, 2 Litres, Silver | Power Indicator | 1500 Watts | Auto Cut-off | Detachable 360 Degree Connector | Boiler for Water",3.9,3414,995,Electric Kettle,Milton Euroline Go Electro 2.0 Stainless Steel Electric Kettle
Kettles & Tea Machines,B0BM9VP9J5,13,"Wonderchef Crescent Electric Kettle 1.5 Litres, 2 years Warranty",3.4,439,599,Electric Kettle,Wonderchef Crescent Electric Kettle 1.5 Litres
Electric Kettles,B0BM9VP9J5,13,"Wonderchef Crescent Electric Kettle 1.5 Litres, 2 years Warranty",3.4,439,599,Electric Kettle,Wonderchef Crescent Electric Kettle 1.5 Litres
Kettles & Tea Machines,B092SX1C6Y,18,"Milton Euroline Go Electro 1.2 Stainless Steel Electric Kettle, (1 Piece), 1.2 Litres, Silver | Power Indicator | 1500 Watts | Auto Cut-off | Detachable 360 Degree Connector | Boiler for Water",3.9,1147,835,Electric Kettle,Milton Euroline Go Electro 1.2 Stainless Steel Electric Kettle
Electric Kettles,B092SX1C6Y,18,"Milton Euroline Go Electro 1.2 Stainless Steel Electric Kettle, (1 Piece), 1.2 Litres, Silver | Power Indicator | 1500 Watts | Auto Cut-off | Detachable 360 Degree Connector | Boiler for Water",3.9,1147,835,Electric Kettle,Milton Euroline Go Electro 1.2 Stainless Steel Electric Kettle
Kettles & Tea Machines,B07WMS7TWB,1,"Pigeon by Stovekraft Amaze Plus Electric Kettle (14289) with Stainless Steel Body, 1.5 litre, used for boiling Water, making tea and coffee, instant noodles, soup etc. (Silver)",3.9,158932,599,Electric Kettle for Various Uses,Pigeon by Stovekraft Amaze Plus Electric Kettle 
Electric Kettles,B07WMS7TWB,1,"Pigeon by Stovekraft Amaze Plus Electric Kettle (14289) with Stainless Steel Body, 1.5 litre, used for boiling Water, making tea and coffee, instant noodles, soup etc. (Silver)",3.9,158932,599,Electric Kettle for Various Uses,Pigeon by Stovekraft Amaze Plus Electric Kettle 
"Coffee, Tea & Espresso",B07WMS7TWB,1,"Pigeon by Stovekraft Amaze Plus Electric Kettle (14289) with Stainless Steel Body, 1.5 litre, used for boiling Water, making tea and coffee, instant noodles, soup etc. (Silver)",3.9,158932,599,Electric Kettle for Various Uses,Pigeon by Stovekraft Amaze Plus Electric Kettle 
Home & Kitchen,B07WMS7TWB,13,"Pigeon by Stovekraft Amaze Plus Electric Kettle (14289) with Stainless Steel Body, 1.5 litre, used for boiling Water, making tea and coffee, instant noodles, soup etc. (Silver)",3.9,158932,599,Electric Kettle for Various Uses,Pigeon by Stovekraft Amaze Plus Electric Kettle 
Kettles & Tea Machines,B07Y23HY7X,28,"IBELL Sek105Bl Electric Kettle 500 Ml With Removable Lid,950 Watt,Auto Cut Off Function,Stainless Steel With Insulation,2 Glasses Free,Double Wall Kettle (Black),950 Watts,0.5 Liter",4.2,1237,932,Electric Kettle with Auto Cut Off Function,IBELL Sek105Bl Electric Kettle 500 Ml With Removable Lid
Electric Kettles,B07Y23HY7X,28,"IBELL Sek105Bl Electric Kettle 500 Ml With Removable Lid,950 Watt,Auto Cut Off Function,Stainless Steel With Insulation,2 Glasses Free,Double Wall Kettle (Black),950 Watts,0.5 Liter",4.2,1237,932,Electric Kettle with Auto Cut Off Function,IBELL Sek105Bl Electric Kettle 500 Ml With Removable Lid
"Coffee, Tea & Espresso",B083GKDRKR,3,"Havells AQUA PLUS 1500 watts 1.2 liters Electric Kettle, Double Layered Cool Touch Outer Body | 304 Rust Resistant SS Inner Body with Auto Shut Off | Wider Mouth | 2 Year Warranty (Black)",4.4,26796,1499,Electric Kettle with Auto Shut Off,Havells AQUA PLUS 1500 watts 1.2 liters Electric Kettle
Kettles & Tea Machines,B083GKDRKR,3,"Havells AQUA PLUS 1500 watts 1.2 liters Electric Kettle, Double Layered Cool Touch Outer Body | 304 Rust Resistant SS Inner Body with Auto Shut Off | Wider Mouth | 2 Year Warranty (Black)",4.4,26796,1499,Electric Kettle with Auto Shut Off,Havells AQUA PLUS 1500 watts 1.2 liters Electric Kettle
Electric Kettles,B083GKDRKR,3,"Havells AQUA PLUS 1500 watts 1.2 liters Electric Kettle, Double Layered Cool Touch Outer Body | 304 Rust Resistant SS Inner Body with Auto Shut Off | Wider Mouth | 2 Year Warranty (Black)",4.4,26796,1499,Electric Kettle with Auto Shut Off and Wider Mouth,Havells AQUA PLUS 1500 watts 1.2 liters Electric Kettle
Kettles & Tea Machines,B0C2YNW8QR,19,"AGARO Galaxy Electric Kettle with Keep Warm Function, BPA Free PP Plastic & Glass body, Double Wall Design, Bicolor LED, 1.5L, Hot Water Kettle with Auto Shut-Off and Boil Dry Protection, Black",4.4,421,1499,Electric Kettle with Keep Warm Function,AGARO Galaxy Electric Kettle with Keep Warm Function
Electric Kettles,B0C2YNW8QR,19,"AGARO Galaxy Electric Kettle with Keep Warm Function, BPA Free PP Plastic & Glass body, Double Wall Design, Bicolor LED, 1.5L, Hot Water Kettle with Auto Shut-Off and Boil Dry Protection, Black",4.4,421,1499,Electric Kettle with Keep Warm Function,AGARO Galaxy Electric Kettle with Keep Warm Function
Kettles & Tea Machines,B0B2CZTCL2,17,"wipro Vesta 1.8 Litre Cool Touch Electric Kettle With Auto Cut Off|Double Layer Outer Body|Triple Protection-Dry Boil,Steam&Over Heat|Stainless Steel Inner Body|(Black,1500 Watt)1.8 Liter,1500 Watt",4,1110,1299,Electric Kettle with Safety Features,wipro Vesta 1.8 Litre Cool Touch Electric Kettle With Auto Cut Off
Electric Kettles,B0B2CZTCL2,17,"wipro Vesta 1.8 Litre Cool Touch Electric Kettle With Auto Cut Off|Double Layer Outer Body|Triple Protection-Dry Boil,Steam&Over Heat|Stainless Steel Inner Body|(Black,1500 Watt)1.8 Liter,1500 Watt",4,1110,1299,Electric Kettle with Safety Features,wipro Vesta 1.8 Litre Cool Touch Electric Kettle With Auto Cut Off
Milk Frothers,B017KHK5KK,3,IKEA PRODUKT Milk-frother Black,3.4,543,248,Electric Milk Frother,IKEA PRODUKT Milk-frother Black
Milk Frothers,B0926BJQQB,14,"COFFEEZA Frothimo Milk Frother for Coffee, 4 in 1 Electric Detachable Milk Frother and Heater | Made of Stainless Steel with Hot & Cold Foam Function for Latte, Cappuccino, Macchiato, Hot Chocolate",4.5,150,4999,Electric Milk Frother,COFFEEZA Frothimo Milk Frother for Coffee
Milk Frothers,B0C1R8KPD7,1,"SimpleTaste Electric Milk Stand, One Touch Hand Whisk Powered Cappuccino Coffee Frother, Black",4.2,44774,639,Electric Milk Stand,SimpleTaste Electric Milk Stand
Handheld Milk Frothers,B0C1R8KPD7,1,"SimpleTaste Electric Milk Stand, One Touch Hand Whisk Powered Cappuccino Coffee Frother, Black",4.2,44774,639,Electric Milk Stand,SimpleTaste Electric Milk Stand
"Coffee, Tea & Espresso",B0C1R8KPD7,13,"SimpleTaste Electric Milk Stand, One Touch Hand Whisk Powered Cappuccino Coffee Frother, Black",4.2,44774,639,Electric Milk Stand,SimpleTaste Electric Milk Stand
Coffee Grinders,B08JTL9S92,13,"DR MILLS Stainless Steel Dm-7452 Electric Dried Spice And Coffee Grinder, Grinder And Chopper,Detachable Cup, Ok For Clean It With Water, Blade & Cup Made With Sus304 Stianlees Steel",4.2,816,2490,Electric Spice and Coffee Grinder,DR MILLS Stainless Steel Dm-7452 Electric Dried Spice And Coffee Grinder
