Keyword,Category,Asin,Rank,Rating,Rating Count,Price,Description,Ai_description,Tag,Image_url,Product_title
Coffee Pod Holder,Capsule Drawers,B088FG76B9,21,4.7,363,9724.76,,,Eco Pick,"https://images-eu.ssl-images-amazon.com/images/I/71hP1JEHDFL._AC_UL300_SR300,200_.jpg",Coffee Pod Holder Storage Rack Capsules Capacity Drawer for Nespresso Vertuoline 
Coffee Pods Holder,Capsule Stands,B07SBQN3D5,16,4.5,2681,3096.54,,,Best Pick,"https://images-eu.ssl-images-amazon.com/images/I/71hP1JEHDFL._AC_UL300_SR300,200_.jpg",Large-Capacity 12-Sided Polygon Elegant Coffee Pods Holder for Nespresso Vertuoline Capsule
Coffee Press Percolator with Filters,Disposable Coffee Filters,B09MS5JD7Q,5,4.6,249,1499,"Make CofReduces Acidity and Oils, Making the Coffee Smootherfee Straight From The Coffee Bean Powder Includes 500 Paper Filters and 1 Metal Filter Reduces Acidity and Oils, Making the Coffee Smoother All Spare Parts Easily Available Preserves the Aroma and Caffeine","Get smoother coffee straight from the bean powder with our coffee maker. Reduces acidity and oils for a better taste. Includes filters.""
",Best Pick,"https://images-eu.ssl-images-amazon.com/images/I/71hP1JEHDFL._AC_UL300_SR300,200_.jpg",KaldiPress Coffee Press Percolator with Metal and 500 Paper Filters 
Coffee Press Percolator with Filters,Coffee Filters,B09MS5JD7Q,5,4.6,249,1499,"Make CofReduces Acidity and Oils, Making the Coffee Smootherfee Straight From The Coffee Bean Powder Includes 500 Paper Filters and 1 Metal Filter Reduces Acidity and Oils, Making the Coffee Smoother All Spare Parts Easily Available Preserves the Aroma and Caffeine","Get smoother coffee straight from the bean powder. Includes 500 paper filters and 1 metal filter. Reduces acidity and oils for a better taste. Preserves aroma and caffeine. Spare parts easily available.""
",,"https://images-eu.ssl-images-amazon.com/images/I/71hP1JEHDFL._AC_UL300_SR300,200_.jpg",KaldiPress Coffee Press Percolator with Metal and 500 Paper Filters 
Coffee Press Percolator with Filters,Coffee Maker Accessories,B09MS5JD7Q,25,4.6,249,1499,"Make CofReduces Acidity and Oils, Making the Coffee Smootherfee Straight From The Coffee Bean Powder Includes 500 Paper Filters and 1 Metal Filter Reduces Acidity and Oils, Making the Coffee Smoother All Spare Parts Easily Available Preserves the Aroma and Caffeine","Get smoother coffee straight from the bean powder. Includes 500 paper filters and 1 metal filter. Reduces acidity and oils for a better taste. Preserves aroma and caffeine. Spare parts easily available.""
",,"https://images-eu.ssl-images-amazon.com/images/I/71hP1JEHDFL._AC_UL300_SR300,200_.jpg",KaldiPress Coffee Press Percolator with Metal and 500 Paper Filters 
Coffee Station Organizer,Capsule Baskets,B09FJGSG1H,7,4.7,146,6540.64,lightweight,"Lightweight and easy-to-use product for your convenience.""
",Best Pick,"https://images-eu.ssl-images-amazon.com/images/I/71hP1JEHDFL._AC_UL300_SR300,200_.jpg",Wooden Coffee Station Organizer
Coffee Station Organizer,Capsule Baskets,B09JSBR87B,8,4.7,302,6293,Rust Resistant,Rust Resistant,Eco Pick,"https://images-eu.ssl-images-amazon.com/images/I/71hP1JEHDFL._AC_UL300_SR300,200_.jpg",Coffee Station Organizer for Counter
Coffee and Espresso Maker,Stovetop Espresso Pots,B0047BIWSK,8,4.7,19017,4120,"Makes 1 to 3 cups per pressing in about one minute, Brews regular American style coffee Brews espresso style coffee for use in lattes and other espresso based drinks, the brewing process takes about 30 seconds Microfilter means no grit in your cup (unlike a French press), Clean up takes just seconds Aeropress Coffee and Espresso Maker Brand: AeroPress","Brews 1-3 cups in 1 min. Makes American & espresso coffee. No grit, easy cleanup. AeroPress Coffee and Espresso Maker.""
",Best Pick,"https://images-eu.ssl-images-amazon.com/images/I/71hP1JEHDFL._AC_UL300_SR300,200_.jpg",Aeropress Coffee and Espresso Maker
Coffee and Tea Maker,"Coffee, Tea & Espresso",B0C1GFM99Y,17,4.2,306,559,"600 Ml Borosilicate glass body with measurement markings. Brew your coffee to perfection in less than 4 minutes 4 Level Filtration system ensures a pure brew with no grounds 18/8 stainless steel premium grade coffee & tea plunger and borosilicate glass carafe makes it durable Compact & Portable, Pressed Coffee allows you to brew with maximum flavor and is the preferred method for brewing for Coffee & Tea enthusiasts everywhere Spout mouth for easy pouring of liquid Includes: 1 French press, 2 Extra replacement mesh filters, 1 Coffee scoop, Cleaning brush","Brew perfect coffee in 4 mins with this durable, portable French press. 4-level filtration system ensures a pure brew. Includes extra filters, scoop, and cleaning brush.""
",Best Pick,"https://images-eu.ssl-images-amazon.com/images/I/71hP1JEHDFL._AC_UL300_SR300,200_.jpg",AGARO Elite French Press Coffee And Tea Maker
Coffee and Tea Maker,"Coffee, Tea & Espresso",B07M5GT99K,25,4.1,970,599,"PREMIUM DESIGN: Experience the delectable taste of freshly brewed coffee with the Regalia French Press. This convenient and stylish coffee maker allows you to enjoy richly flavored coffee at your own convenience. Crafted with durable German borosilicate glass and a sleek frame, the Regalia French Press adds a touch of elegance to your home. EASY BREWING PROCESS: Simply add a spoonful of coffee powder per cup to the jar, ensuring the grind is on the coarse side as per French Press specifications. Add boiling water, then push the stainless steel plunger halfway down to initiate the brewing process. After 3 minutes, push the plunger all the way down, and your coffee is ready to pour. SUPERIOR FLAVOR EXTRACTION: Offers a unique filter system that ensures a richly flavored and grit-free cup of coffee with every brew. With a brewing capacity of 600ml, you can prepare 2-3 cups of coffee in one go. SIMPLE AND CONVENIENT: This French Press is designed for ease of use and effortless cleaning. It requires no stirring while brewing, allowing the coffee to develop its flavors naturally. ITALIAN DESIGN AND GERMAN QUALITY STANDARDS: Wonderchef products, including the Regalia French Press, are inspired by Italian design aesthetics and adhere to German quality standards. 1-YEAR ON-SITE WARRANTY: Peace of mind with a reliable Wonderchef warranty with the best after-sales service provided at your home in over 20,000 pin codes across India.","Enjoy richly flavored coffee with the elegant Regalia French Press. Easy brewing process for superior flavor extraction. Simple and convenient design. Italian design and German quality standards. 1-year warranty.""
",Eco Pick,"https://images-eu.ssl-images-amazon.com/images/I/71hP1JEHDFL._AC_UL300_SR300,200_.jpg",Wonderchef French Press Coffee & Tea Maker 350 ml
Coffee capsule holder drawer,Capsule Drawers,B09Z6JWVZG,13,4.4,130,11533,,,Best Pick,"https://images-eu.ssl-images-amazon.com/images/I/71hP1JEHDFL._AC_UL300_SR300,200_.jpg",Rice rat Coffee Vertuo Capsule Holder Drawer for Nespresso With Glass For Cabinet Vertuoline Pod Storage Rack For Counter 
Coffee capsule storage drawer,Capsule Drawers,B07Z3YSJF7,24,4.8,8629,11770.29,,,Best Pick,"https://images-eu.ssl-images-amazon.com/images/I/71hP1JEHDFL._AC_UL300_SR300,200_.jpg",EVERIE Crystal Tempered Glass Top Storage Organizer Drawer for Nespresso Capsules
Coffee capsule storage holder,Capsule Drawers,B07PKSL6F5,14,4.6,1006,10308,,,Best Pick,"https://images-eu.ssl-images-amazon.com/images/I/71hP1JEHDFL._AC_UL300_SR300,200_.jpg",HiveNets Vertuoline HiveNets Coffee Machine Capsule Metal Storage Holder Stand Drawer Dispenser Compatible for Nespresso Vertuo/Vertuoplus 40 PCS Capacity Multiple Flavors Pods Organizer [Black]
Coffee filters,Coffee Filters,B001O0R46I,2,4.6,18269,712,Capacity is one to three cups Easy To Use Material: Paper Color: Natural Dimensions (L X W X H): 53.3Cm X 35.6Cm X 61Cm,Easy-to-use paper cups with a capacity of 1-3 cups. Natural color. Dimensions,Best Pick,"https://images-eu.ssl-images-amazon.com/images/I/71hP1JEHDFL._AC_UL300_SR300,200_.jpg",Hario V60 Paper Coffee Filters
Coffee filters,Disposable Coffee Filters,B0029PVRXI,4,4.4,2419,420,Coffee Filters Made in Japan Pack of 100 Designed for cone shaped 01 coffee drippers Capacity 1-2 cups,"Japanese-made coffee filters for cone-shaped 01 drippers. 100 pack. 1-2 cup capacity.""
",,"https://images-eu.ssl-images-amazon.com/images/I/71hP1JEHDFL._AC_UL300_SR300,200_.jpg",HARIO V60 Paper Coffee Filters
Coffee filters,Coffee Filters,B0029PVRXI,4,4.4,2419,440,Coffee Filters Made in Japan Pack of 100 Designed for cone shaped 01 coffee drippers Capacity 1-2 cups,"Japanese-made coffee filters for cone-shaped 01 drippers. Pack of 100. Perfect for 1-2 cups.""
",,"https://images-eu.ssl-images-amazon.com/images/I/71hP1JEHDFL._AC_UL300_SR300,200_.jpg",HARIO V60 Paper Coffee Filters
Coffee filters,Coffee Maker Accessories,B001O0R46I,9,4.6,18269,712,Capacity is one to three cups Easy To Use Color: Natural Dimensions (L X W X H): 53.3Cm X 35.6Cm X 61Cm,"Easy-to-use, natural color coffee maker with a capacity of 1-3 cups. Dimensions",,"https://images-eu.ssl-images-amazon.com/images/I/71hP1JEHDFL._AC_UL300_SR300,200_.jpg",Hario V60 Paper Coffee Filters
Coffee filters,Coffee Maker Accessories,B0029PVRXI,23,4.4,2419,440,Made in Japan Pack of 100 Designed for cone shaped 01 coffee drippers Capacity 1-2 cups,Made in Japan. Pack of 100. Designed for cone-shaped 01 coffee drippers. Capacity,,"https://images-eu.ssl-images-amazon.com/images/I/71hP1JEHDFL._AC_UL300_SR300,200_.jpg",HARIO V60 Paper Coffee Filters
Coffee filters,Disposable Coffee Filters,B0012VVB8Q,27,4.5,1760,279,"Cone Shaped white paper filter for Hario's 03 pour-over brewers Each filter brews a single cup at a time Contains 40 disposable white size 03 paper filters These paper filters produce a clean, flavorful, sediment free cup Made in Japan","Cone-shaped white paper filter for Hario's 03 pour-over brewers. Brews a single cup at a time. Includes 40 disposable filters. Made in Japan.""
",Eco Pick,"https://images-eu.ssl-images-amazon.com/images/I/71hP1JEHDFL._AC_UL300_SR300,200_.jpg",Hario Coffee Paper Filters 
Coffee maker,"Coffee, Tea & Espresso",B09QHQNLFB,9,4.2,787,275,"STRONG COFFEE: Stainless steel coffee filter is much better than instant coffee as slow-drip process is enhanced by many small holes that distribute coffee in all water evenly. Without milk added, the decoction is stronger than espresso. Crafted for Coffee Lovers: Perfect for enthusiasts who seek a strong and full-bodied brew, our filter is designed to deliver a taste that resonates with coffee aficionados. TRADITIONAL COFFEE MAKER: It has a fine mesh for filtering the coffee decoction.The upper cup holds the coffee grounds, and it has holes that let the brew drip into the lower cup. The strong decoction is collected in the lower cup. PROCESS TO MAKE: Add one or two tablespoon of Indian coffee according to your taste and hot water to brew a perfect cup of Indian coffee. Hot water will help coffee granules to dissolve and make sure you damp with presser. GIFT FOR COFFEE LOVER: This can be perfect gift for your family and friends in any occasion. If you are coffee lover then this product you should definitely buy. Make your south Indian coffee filter.","Get the perfect cup of strong and full-bodied coffee with our stainless steel coffee filter. Designed for coffee lovers, it delivers a taste that resonates with enthusiasts. Traditional and easy to use, it's the perfect gift for any occasion. Make your own South Indian coffee filter.""
",Best Pick,"https://images-eu.ssl-images-amazon.com/images/I/71hP1JEHDFL._AC_UL300_SR300,200_.jpg",PANCA South Indian Filter Coffee Maker 200 ML 2-4 Cup Mug Madras Kaapi Kappi Drip Decoction Maker Brewer Dripper Stainless Steel Medium Size for Home & Kitchen
Coffee pod holder,Capsule Drawers,B07Z3Y8VJB,9,4.7,1347,8747,"Built to Last - Tempered glass top and strong metal frame support the coffee maker above stably and brings stylish look in the kitchen. No Fluffy or Stained Drawer - Drawer made of plastic rather than a flocked sheet which could be stained by coffee drops or has fluff exposed. Built to last long and keep pods organized and neat. Small Footprint – Holds 54 capsules by size W11.5”x D13” where a brewer fits perfectly on top. Attention: It is NOT compatible with Vertuoline pods. Visible and Easy Access – Colored pods are displayed obviously, just pick your favorite taste and brew. Compatible with all brands of capsules for Nespresso OriginalLine. It is not compatible with Vertuoline capsules. Patent Number D920750S, D923420","Stylish and durable coffee maker stand with neat and organized capsule storage. Compatible with Nespresso OriginalLine capsules.""
",Best Pick,"https://images-eu.ssl-images-amazon.com/images/I/71hP1JEHDFL._AC_UL300_SR300,200_.jpg",EVERIE Tempered Glass Top Holder Drawer Compatible with Nespresso Capsules Coffee Pods
Coffee pod holder carousel,Capsule Stands,B07K4ZMM1X,29,4.9,2106,8034.06,"GREAT CAPACITY, HOLDS UP TO 44 NESPRESSO VERTUOLINE CAPSULES; 360 DEGREE REVOLVING BASE VERY EASY TO ACCESS ANY COFFEE POD Large knob on top, Spins smoothly with just a touch, Very convenient to access any flavor of coffee. ULTRA SPACE SAVING Small footprint (6” Width x 6” Depth x 15-1/4” Height), Takes less space than most of other carousel holders. CLASSIC MATTE BLACK FINISH Compatible with any stylish kitchen, A very nice accessory to hold your Nespresso vertuoline capsules. Perfect for the countertop next to your Nespresso Vertuo Machine. DELUXE METAL CONSTRUCTION It’s very sturdy and durable, 5 years warranty,Nespresso Vertuoline Capsules are NOT included. USPTO Patent Pending","Conveniently access any flavor with this space-saving, durable Nespresso Vertuoline capsule holder. Holds up to 44 capsules. Matte black finish. 5-year warranty.""
",Best Pick,"https://images-eu.ssl-images-amazon.com/images/I/71hP1JEHDFL._AC_UL300_SR300,200_.jpg",K -32 Cup Carousel
Coffee pod holder drawer,Capsule Drawers,B07D7M93ZW,7,4.7,2333,3082,,,Best Pick,"https://images-eu.ssl-images-amazon.com/images/I/71hP1JEHDFL._AC_UL300_SR300,200_.jpg",EVERIE Coffee Pod Holder Drawer Compatible with Keurig K Cup Pods 
Coffee pod holder drawer,Coffee Capsule Holders,B07D7M93ZW,15,4.7,2333,3082,,,,"https://images-eu.ssl-images-amazon.com/images/I/71hP1JEHDFL._AC_UL300_SR300,200_.jpg",EVERIE Coffee Pod Holder Drawer Compatible with Keurig K Cup Pods 
Coffee pod holder drawer,Coffee Capsule Holders,B07Z3Y8VJB,26,4.7,1347,8747,"Built to Last - Tempered glass top and strong metal frame support the coffee maker above stably and brings stylish look in the kitchen. No Fluffy or Stained Drawer - Drawer made of plastic rather than a flocked sheet which could be stained by coffee drops or has fluff exposed. Built to last long and keep pods organized and neat. Small Footprint – Holds 54 capsules by size W11.5”x D13” where a brewer fits perfectly on top. Attention: It is NOT compatible with Vertuoline pods. Visible and Easy Access – Colored pods are displayed obviously, just pick your favorite taste and brew. Compatible with all brands of capsules for Nespresso OriginalLine. It is not compatible with Vertuoline capsules. Patent Number D920750S, D923420","Stylish and durable coffee maker stand with tempered glass top and metal frame. Neatly organize and access your favorite coffee pods. Compatible with Nespresso OriginalLine capsules. Not for use with Vertuoline pods. Patent Number D920750S, D923420.""
",Eco Pick,"https://images-eu.ssl-images-amazon.com/images/I/71hP1JEHDFL._AC_UL300_SR300,200_.jpg",EVERIE Tempered Glass Top Holder Drawer Compatible with Nespresso Capsules Coffee Pods
Coffee pod organizer,Capsule Drawers,B0B1H7CBFV,22,4.7,213,11688,"【Elegant Smooth Finish with Tempered Glass】Modern design of multi-layer pod Holder keeps your capsules neat and tidy and your counter clean.Find your favorite coffee flavor quickly and easily with the tiered system. You can place mugs and accessories on top of the drawers to have everything in one spot you may need. 【Save Space】Size:15.95''*12.8''*3.78''.You only need to use a small area to fit a large number of Nespresso pods.That's enough coffee for your entire family for a week, but takes up a lot of your little counter space. 【50 Vertuo Capacity】Holds up to 50 pods for Nespresso Vertuo pods. This capsules holder holded up 5 boxes pods capacity with Vertuo Next, Vertuo Plus, Vertuo Evoluo ect. 【Easy to Organize】Easy to pull out drawer and put in pods offer the best user experience. The hollow place design can be organized your coffee capsule easily. 【Sturdy Frame】Upgraded frame ensures the net side frame not easily to brend like other normal pillar frame.All frame is made of metal which has longer life than plastic.","Elegant pod holder with tempered glass. Neatly store and easily find your favorite coffee flavor. Saves space and holds up to 50 Vertuo pods. Easy to organize and made with a sturdy metal frame.""
",Best Pick,"https://images-eu.ssl-images-amazon.com/images/I/71hP1JEHDFL._AC_UL300_SR300,200_.jpg",Flagship for Vertuo Pod Holder Coffee Pod Organizer for Nespresso Pod Storage Glass Top
Coffee pod storage drawer,Capsule Drawers,B00JZCBN4G,16,4.4,1855,5100,"Holds 36 K-Cup,42 CBTL/Verismo single serve coffee pods Forget the cheap wire mesh holders with sticky drawers and flimsy construction Place your single serve coffee machine on top to save valuable counter space in your office or your home Built to last with attention to detail and superior materials One drawer organizes all of your favorite single serve coffee pods","Save counter space with this durable coffee pod holder. Holds 36 K-Cup, 42 CBTL/Verismo pods. Organize all your favorites in one drawer.""
",Best Pick,"https://images-eu.ssl-images-amazon.com/images/I/71hP1JEHDFL._AC_UL300_SR300,200_.jpg",Mind Reader 'Hero' 36 Capacity Single Serve Coffee Pod Storage Drawer
Coffee pod storage drawer,Capsule Drawers,B07BC8DKN1,27,4.7,11588,9600,"Large capacity: holds up to 35 K-Cup pods (or 15 K-Carafe pods). letting you keep plenty of your favorite beverages at hand while leaving the rest of your countertop free and uncluttered, Space saving: keep your beverages close to your Keurig Coffee maker without taking up too much space, the Keurig rolling storage drawer is the ultimate space saving storage solution, Wheeled design: space-saving design allows you to push your Coffee maker forward and backward under your cabinets with ease, Materials: constructed of high quality, durable metal materials that meet the highest product quality and safety standards. Black painted finish compliments all Keurig Coffee makers, Dimensions: 4.125""H x 14.85""W x 11.2""D. Fits under all Keurig classic and plus series Coffee makers,","Conveniently store up to 35 K-Cup pods with this space-saving Keurig rolling storage drawer. Fits under all Keurig coffee makers.""
",,"https://images-eu.ssl-images-amazon.com/images/I/71hP1JEHDFL._AC_UL300_SR300,200_.jpg",Keurig Under Brewer Storage Drawer
Coffee pod storage drawer,Capsule Drawers,B07S1QLVXY,29,4.7,3479,5914.62,Organizes 24 K-Cup pods. Fits underneath most at home Keurig brewers. Only 8.25 inches wide so it takes up very little counter space Steel sliding rail construction is built to last. Integrated rolling and braking mechanism so you are able to operate the brewer from underneath the cabinet,"Organizes 24 K-Cup pods. Fits under most Keurig brewers. Takes up little counter space. Durable steel construction. Easy operation from under cabinet.""
",Eco Pick,"https://images-eu.ssl-images-amazon.com/images/I/71hP1JEHDFL._AC_UL300_SR300,200_.jpg",Nifty Home Products 24 Coffee Pod Capacity Storage Drawer Rolling K-Cup Holder
Coffee pod storage organizer drawer,Capsule Drawers,B078Z43GF2,28,4.2,1889,10393,"Holds 72 K-Cup,84 CBTL/Verismo. Dolce Gusto single serve coffee pods Place your single serve Coffee machine on top to save valuable counter space Quality sliding drawer construction. Double the drawers, double the capacity Built to last with attention to detail and superior materials Easy to clean, made from quality materials Dimensions: 12.80 (L) x 12.99 (W) x 5.12 (H)","Save counter space with this coffee pod holder. Holds 72 K-Cup, 84 CBTL/Verismo, and Dolce Gusto pods. Easy to clean and made from quality materials. Dimensions",Best Pick,"https://images-eu.ssl-images-amazon.com/images/I/71hP1JEHDFL._AC_UL300_SR300,200_.jpg",Mind Reader 72 Capacity Double K-Cup Coffee Pod Storage Organizer Drawer Metal Mesh
Cold Brew System,Disposable Coffee Filters,B075M22WK3,28,4.9,1885,2299,"Specifically engineered for a cold brew; Strain out undesirable bitter acids and fatty oils to produce smooth, rich coffee flavour Made in USA Tree free filters are compostable and fabricated to precise requirements specific to the Toddy Cold Brew System - Commercial Model. PLA Plant-Based Filter; food grade","Smooth, rich cold brew coffee made in USA. Tree-free, compostable filters for Toddy Cold Brew System - Commercial Model. PLA Plant-Based Filter.""
",Best Pick,"https://images-eu.ssl-images-amazon.com/images/I/71hP1JEHDFL._AC_UL300_SR300,200_.jpg",Toddy® Cold Brew System Home - Paper Filter Bags
Compact Espresso Machine,Espresso Machines,B06ZY7R238,3,4.6,1818,14340,"Performance: create a barista style coffee or Espresso drinks every time, thanks to our one touch operation and extraction system which delivers up to 19 bars of pressure Size: discover the newest and smallest ever single serve Espresso maker from espresso by De'Longhi, without compromising on exceptional Coffee and espresso moments; This compact Espresso machine is effortlessly portable and features a sleek design and modern smooth lines, allowing it to fit into anywhere saving valuable counter space Energy efficient Coffee machine: in just one touch, The water reaches the ideal serving temperature in under 30 seconds and an energy saving mode automatically switches off the machine after 9 minutes Complimentary gift: Each Espresso machine includes a Espresso Original capsule welcome kit with a range of capsules with unique aroma profile","Create barista-style coffee or espresso drinks every time with our one-touch operation and extraction system. Compact and energy-efficient, this espresso machine is perfect for any space. Includes complimentary Espresso Original capsule welcome kit.""
",Best Pick,"https://images-eu.ssl-images-amazon.com/images/I/71hP1JEHDFL._AC_UL300_SR300,200_.jpg",Nespresso Essenza Mini Espresso Machine by De'Longhi
Compact Espresso Machine,Espresso Machines,B06ZYSM2GR,16,4.5,3400,17299,"Welcome Package with 11 capsules individual flavors 3 One-Touch Keys for Espresso and Lungo (cup capacity individually programmable) With 19 bar pumping pressure, energy saving, with capsule collection tank for 6 used capsules Eco mode 3 min and automatically turns off 9 minutes after the last cup cover, removable 0.6 L water tank","11-capsule Welcome Package, 3 One-Touch Keys for Espresso and Lungo, 19 bar pumping pressure, energy-saving, 6-capsule collection tank, 0.6L removable water tank.""
",Eco Pick,"https://images-eu.ssl-images-amazon.com/images/I/71hP1JEHDFL._AC_UL300_SR300,200_.jpg",Nespresso Essenza Mini espresso Machine by De'Longhi
Cooking Pan,Pots & Pans,B00IYJEI4S,21,4.3,12369,1090,"Hard Anodised Aluminium - tough and durable, will not pit, tarnish or corrode and will stay looking new for years It is preferred for heavy gauge, and a good balance that makes cooking easy and the results delicious The Futura Hard Anodised surface is non-toxic, non-staining and non-reactive with foods. It is thermal-efficient, heats fast and evenly and is not spoiled by high heat The stainless steel handle is stay-cool and comfortable. Pan with a stainless steel handle can be put in the oven or under a broiler It can be used on domestic gas, kerosene, electric, ceramic and halogen stoves","Durable and versatile hard anodised aluminium cookware with a non-toxic surface. Fast and even heating for delicious results. Suitable for various stovetops and oven use.""
",,"https://images-eu.ssl-images-amazon.com/images/I/71hP1JEHDFL._AC_UL300_SR300,200_.jpg",Hawkins Futura 28 cm Tava
Cooking Pan,Cookware,B00IYJEI4S,21,4.3,12369,1090,"Hard Anodised Aluminium - tough and durable, will not pit, tarnish or corrode and will stay looking new for years It is preferred for heavy gauge, and a good balance that makes cooking easy and the results delicious The Futura Hard Anodised surface is non-toxic, non-staining and non-reactive with foods. It is thermal-efficient, heats fast and evenly and is not spoiled by high heat The stainless steel handle is stay-cool and comfortable. Pan with a stainless steel handle can be put in the oven or under a broiler It can be used on domestic gas, kerosene, electric, ceramic and halogen stoves","Durable hard anodised aluminium cookware with non-toxic surface. Fast and even heating for delicious results. Oven-safe stainless steel handle. Suitable for various stovetops.""
",Best Pick,"https://images-eu.ssl-images-amazon.com/images/I/71hP1JEHDFL._AC_UL300_SR300,200_.jpg",Hawkins Futura 28 cm Tava
Cookware Set,Pots & Pans,B0B5XRDRFH,12,4.1,2144,1699,"Color: Peach; Material: Aluminium; Package Content: 3 - Pieces Kitchen Jewel Plus Set (1 - Piece Fry Pan, 24 cm; 1 - Piece Kadhai with Glass Lid, 24 cm; 1 - Piece Tawa, 25 cm 1 - Piece Nylon Laddle; 1 - Piece Nylon Spatula This is PFOA Free non-toxic and lightweight, you can enjoy food absolutely worry-free. It has 5 layers of Non-stick coating which requires less oil. This kitchen set has nylon ladle and spatula for better serving and cooking This kitchen set has attractive exterior colour which can suit the kitchen decor. This kitchen set is Friendly with gas stove as well as induction cooking, it is a flexible fit for your kitchen The kadhai has glass lid with steam vent for retaining moisture for cooking. Ergonomically designed detachable handles to save space in your kitchen. These cookwares are designed to survive your daily use, perfect for high heat with minimum oil or buttercream for those into a healthy diet. This kitchen set is dishwasher safe","Non-toxic and lightweight kitchen set with 5 layers of non-stick coating. Includes fry pan, kadhai with glass lid, tawa, nylon ladle, and spatula. Suitable for gas stove and induction cooking. Dishwasher safe.""
",Best Pick,"https://images-eu.ssl-images-amazon.com/images/I/71hP1JEHDFL._AC_UL300_SR300,200_.jpg",Milton Pro Cook Kitchen Jewel Plus Set of 5 
Cosmetic Organizer Box,Home & Kitchen,B0BLK9X25W,21,4.1,2155,329,"[Design for Daily Use] The Make Up Organizator with open space brings you the most convenient storage yet. Fit your different storage needs like cosmetic display cases, makeup organizers, vanity organizers, desk organizers, etc! [Large Capacity Classified Storage] The 11.2 x 6.9 x 5 inches cosmetic storage can be divided into 2 parts, the drawer, and open spaces. 3 x small drawers for your facial mask or vanity kit & small items. The open space can hold lotions, moisturizers, makeup brushes, lipsticks, and other small everyday collections. [Chic Design] Cosmetic Storage Organizer has elegant lines and curves to add beauty addition to your dresser top. Hollow bottom design for better cleaning and drainage; Drawer with handle for easy pulling; Grid & stepped layer design for better storage. [Multi Use Organizer] Our ALOXE organizer box is not only for cosmetics but also perfect storage for storing office supplies like pens, post-it notes, glue, tape, scissors, stapler, paper clips, cell phone, business cards, etc. [Great Gift Idea] Functional and beautifully compatible cosmetic organizer are used as a fantastic present for yourself or someone you love.","Convenient and versatile makeup organizer with large capacity storage. Perfect for cosmetics and office supplies. Great gift idea!""
",Best Pick,"https://images-eu.ssl-images-amazon.com/images/I/71hP1JEHDFL._AC_UL300_SR300,200_.jpg",ALOXE Cosmetic Organizer Box Drawers Storage Plastic Stationary Box 
Deep Bottom Kadhai,Stir-Fry Pans,B09M417GLS,24,3.8,376,349,"You can use your Iron kadhai for cooking veg/ non veg , deep frying, roasting, sauteing, grilling, boiling, shallow frying in less oil. This kadai comes with 2 confortable golden handles for easy handling use. Healthy choice for your cooking. Easy to clean Item Shape: Round","Versatile iron kadhai with comfortable handles for easy cooking. Healthy choice for all your cooking needs. Easy to clean.""
",Best Pick,"https://images-eu.ssl-images-amazon.com/images/I/71hP1JEHDFL._AC_UL300_SR300,200_.jpg",OLRADA Iron Kadhai Deep Bottom Kadai
Deep Fry Pan,Frying Pans,B00EVQZEO6,16,4.4,4850,971,"Hard Anodised Aluminium - tough and durable, will not pit, tarnish or corrode and will stay looking new for years The Pan is ideal for sautéing and stir-frying foods using minimal quantities of oil. It can also be used for deep-frying and for cooking gravies, curries and sauces It is offered with elegant, comfortable Rosewood handles fixed on sturdy stainless steel brackets which are permanently riveted to the Pan. The handles are carefully designed to provide greater comfort and safety, particularly when handling heavy loads or hot oil The Pan has a round bottom for greater convenience during stir-frying Suitable for use on gas and kerosene stoves","Durable hard anodised aluminium pan with comfortable rosewood handles. Ideal for sautéing, stir-frying, deep-frying, and cooking gravies. Suitable for gas and kerosene stoves.""
",Best Pick,"https://images-eu.ssl-images-amazon.com/images/I/71hP1JEHDFL._AC_UL300_SR300,200_.jpg",Hawkins Futura 1.5 Litre Deep Fry Pan
Deep Fry Pan with Lid,Frying Pans,B00EVQXLKU,27,4.4,4894,1818,"Hard Anodised Aluminium - tough and durable, will not pit, tarnish or corrode and will stay looking new for years The Pan is ideal for sautéing and stir-frying foods using minimal quantities of oil. It can also be used for deep-frying and for cooking gravies, curries and sauces It is offered with elegant, comfortable Rosewood handles fixed on sturdy stainless steel brackets which are permanently riveted to the Pan. The handles are carefully designed to provide greater comfort and safety, particularly when handling heavy loads or hot oil The Pan has a flat bottom for greater stability on gas and for use on cooktops with a flat surface such as electric, ceramic and halogen The pan has curved sides suitable for deep-frying and stir-frying and is provided with a stainless steel lid","Durable hard anodised aluminium pan with rosewood handles for comfortable and safe cooking. Suitable for sautéing, stir-frying, deep-frying, and making gravies, curries, and sauces. Flat bottom for stability on gas and flat cooktops. Includes stainless steel lid.""
",Best Pick,"https://images-eu.ssl-images-amazon.com/images/I/71hP1JEHDFL._AC_UL300_SR300,200_.jpg",Hawkins Futura 2.5 Litre Deep Fry Pan
