Categeory,asin,Rank,image_url,Rating,Rating Count,Price,Tag,description,Ai_description,Product_title,Keyword
Paints,B014Z40DSK,23,"https://images-eu.ssl-images-amazon.com/images/I/91QCs4kAynL._AC_UL300_SR300,200_.jpg",4.3,3729,159,Best Pick,"Can Be painted on Cloth,Banner,Metal, Wood, Plaster of Paris, Concrete, Brick, paper, Wall, Terracota. Intense Illumination. Facilitate prominent display. Water Soluble. Water Proof once dryed.","{
    ""AI_DESCRIPTION"": ""Versatile paint for cloth, metal, wood, concrete, and more. Intense illumination and waterproof when dry. Perfect for prominent displays.""
}",Flash Acrylic Color ,Acrylic Color
Paints,B0BHZHLHMF,7,"https://images-eu.ssl-images-amazon.com/images/I/61sICB3CPzL._AC_UL300_SR300,200_.jpg",4,150,253,Best Pick,"VIBRANT SHADES - The paint offers vibrant shades that are new and lively, giving your artwork a radiant and bright appearance. You can experiment with the same colour by mixing and matching different hues to create new hues. QUICK-DRYING - The colours are created in a way that, once applied to a surface, they swiftly dry off and, once fully dried, turn dense and bright. MULTIFUNCTIONAL ACRYLIC PAINT KIT: Our acrylic craft paint is distinctively designed for multiple surfaces. You can use it as canvas paint, wall paint, glass paint, ceramic paint, wood paint, metal paint, fabric paint, and more. Ideal for professional artists, painting beginners, hobby painters, kids, friends, students, and anyone who enjoys art painting. EASY TO USE AND STORE: This acrylic paint for canvas comes in a bottle makes it easy to take off the color on the palettes while applying the paint to art paintings. The sturdy bottle with an air-tight cover makes it easy to store without any mess. MAKE BEAUTIFUL SHADES WITH GOOD COVERAGE: These acrylic art paints have a thick, smooth, and creamy consistency that is accurately pigmented producing true, consistent shades. You can also blend the acrylic paints to produce an array of unlimited shades for any craft project. Ideal gift for art enthusiasts, painters, students, etc.","{
    ""AI_DESCRIPTION"": ""Vibrant shades, quick-drying acrylic paint kit for multiple surfaces. Easy to use and store, create beautiful shades with good coverage. Ideal gift for art lovers.""
}",GRANOTONE Acrylic Colour Art and Craft Paint,Acrylic Colour Art and Craft Paint
Paints,B072M7G51S,3,"https://images-eu.ssl-images-amazon.com/images/I/51q6wogTIYL._AC_UL300_SR300,200_.jpg",4.5,7778,300,Best Pick,"VIBRANT SHADES - The paint presents fresh and vibrant hues that will make your artwork look radiant and bright. You can mix and match various colours to make new colours and experiment with the same QUICK-DRYING - The colours are crafted in a manner such that once applied on the surface it quickly dries off and becomes dense and brilliant once completely dry VERSATILE - This easy-to-use acrylic paint can be used on any surface with relative ease. These surfaces include the likes of canvas, wood, earthenware, stone, thermocol, metal, leather, glass, etc WATER-SOLUBLE - This colours kit consists of vibrant colours which are water-soluble, which means you can mix it with water to adjust the consistency. And, once dry they become water-resistant PERFECT GIFT - A acrylic color kit is an excellent gift for your baby, friend's kid, adult, and anyone who loves painting. It's made from ingredients","{
    ""AI_DESCRIPTION"": ""Vibrant, quick-drying acrylic paint for versatile use on various surfaces. Water-soluble and perfect as a gift.""
}",Fevicryl Acrylic Colour,Acrylic Craft Paint
Risers,B07XL7KMZC,19,"https://images-eu.ssl-images-amazon.com/images/I/61mFG6VFKlL._AC_UL300_SR300,200_.jpg",4.5,1590,,Best Pick,"💕 【PREMIUM QUALITY】- Made of acrylic material, crystal transparent. - Size: 9*3*4.25in, 8.55*3*2.9in, 8.2*3*1.5in, each size 2pc - 4mm thickness, much stronger and steady. 💕 【Reusable & Easy To Clean】- They are laser cut so finished with a shiny & smooth edge all round, Easy to clean, you don't have to buy more if it gets dirty. Will save you money down the road! 💕【Perfect Design and Visual experience】- The display riser stands were made of super clear acrylic plexiglass, can be put at the curio cabinet, retail store, wedding brithday party, tea party, dining room cabinet, showcase, and trade shows, so you can enjoy a floating visual experience of the displayed. 💕 【Warm-Tips】- There is a printed plastic film on all the surfaces to protect the acrylic during shipping Just rip it off and you will see the clear stand. 💕【After-sales service】- If the product is damaged or broken during shipping, please contact us and provide us with a photo, we can refund or resend. Your shopping experience should be perfect every time.","{
    ""AI_DESCRIPTION"": ""High-quality acrylic display risers in 3 sizes, easy to clean and reusable. Perfect for showcasing items at events or in retail stores. Contact us for any issues.""
}",Display Risers,Acrylic Display Stands
Markers,B09SG354R6,21,"https://images-eu.ssl-images-amazon.com/images/I/71hP1JEHDFL._AC_UL300_SR300,200_.jpg",4.1,117,473,Best Pick,"Suitable for both external and internal use and can be applied on a variety of surfaces like paper, stones, canvas, glass, plastic, wood, walls, porcelain etc. Water-resistant, UV resistant, abrasion-proof, lightfast and non toxic. Store the markers horizontally for optimum user experience. Put the lid back on after use. Must be shaken well before use. The range offers medium round tip markers with 0.8mm bullet tips making them easy to control and gives artists a smooth flow with great coverage. Contains- Gold, Silver, Black, White","{
    ""AI_DESCRIPTION"": ""Versatile markers for various surfaces, water-resistant, UV resistant, and non-toxic. Shake well before use. Store horizontally for best results. Includes Gold, Silver, Black, White.""
}",BRUSTRO Acrylic ,Acrylic Fine Tip Marker Set
Paints,B0B691Q7PW,15,"https://images-eu.ssl-images-amazon.com/images/I/61o-t-Vp5YL._AC_UL300_SR300,200_.jpg",4.4,286,189,Best Pick,"Gesso for preparing painting surfaces (foundation) for acrylic and oil paints, mixed media , decoupage etc. When dry, creates an absorbent surface to paint on. Completely matte on drying Best applied with palette knife, foam roller, flat brush","{
    ""AI_DESCRIPTION"": ""Gesso for preparing painting surfaces for acrylic and oil paints. Creates absorbent surface to paint on. Best applied with palette knife, foam roller, flat brush.""
}",Little Birdie ACRYLIC GESSO WHITE 100ML BOTTLE,Acrylic Gesso Bottle
Paint Primers,B09HH6YHTM,2,"https://images-eu.ssl-images-amazon.com/images/I/61YdEm9mh+L._AC_UL300_SR300,200_.jpg",4.4,219,230,Best Pick,,,Flash Acrylic Gesso Primer Water Base Non-Toxic Universal Gesso Primer to Apply as an Undercoat Before Painting for Extra Coverage ,Acrylic Gesso Primer
Paint Finishes,B0B8RTHKGH,1,"https://images-eu.ssl-images-amazon.com/images/I/617pN7MQ2cL._AC_UL300_SR300,200_.jpg",4,397,389,Best Pick,"Why Varnish? Handmade art and craft materials work is precious for an artist or a crafter and it needs to be preserved for years to come. The best way to protect any surface is to top coat it with Craftreat varnish art supplies for artist. Perfect Art materials for Artist, Teachers, Students, Classrooms, Workshops and art work enthusiasts. Dries fast and can be used indoors and outdoors. Multi Surface: Gloss Varnish for wood is a semi white liquid that dries clear and gives a durable gloss finish to seal the art/craft works on surfaces like canvas, wood, metal, paper etc. Two Finishes: CrafTreat Varnish for Watercolor Painting comes in both Gloss and Matte finish, so you may choose according to your needs.Stir the acrylic paint sealer waterproof varnish gently and give long even strokes on the surface using a long soft brush. For Paintings and Decor: Great Warnish for Acrylic painting, Decor varnish for crafts like decoupage, mixed media, stencilling, etc., Warning: Not to be used on alcohol based inks, paints and markers.","{
    ""AI_DESCRIPTION"": ""Protect your art with Craftreat varnish for a durable gloss finish. Ideal for artists, teachers, and craft enthusiasts. Indoor/outdoor use.""
}",CrafTreat Gloss Varnish for Acrylic Painting 250 ml - Clear Craft Materials Glossy Vanish Liquid for Clay Art,Acrylic Gloss Varnish
Markers,B0B9SWT4TV,18,"https://images-eu.ssl-images-amazon.com/images/I/71hP1JEHDFL._AC_UL300_SR300,200_.jpg",4,105,399,Best Pick,"Color Included: Red, Yellow, White, Silver, Blue, Black, Gold and Green FAST DRYING: Easily layer and mix different colors without worrying about smudges and blotches MARKS ON ANYTHING: Acrylic paint pens can be used on almost any solid surface, including rock, metal, ceramic, plastic, porcelain, canvas, wood, glass and phone shell. It's perfect for drawing, illustrations, calligraphy, card making, stamping, color books, and anything else you might dream up. No matter your needs, these markers have got you covered! QUALITY PRODUCT: Acrylic paint pens with brilliant assorted colors, highly pigmented acrylic ink, water based, medium point 2-3mm, 8pcs acrylic marker pens in one set. SAFE TO USE: Paint markers utilize vivid, water-based ink, Acid Free, Non-Toxic and safe, glide smoothly while writing and drawing, water-proof, UV-resistant, Opaque, Odorless. Each paint marker is filled with vibrant opaque colors made from high quality vibrant acrylic colors. PERFECT GIFT: People love gifts that are actually useful, which is why this acrylic painting markers set will be a hit with whoever you give it to, whether it be for a birthday, Christmas, Valentines day or just a random gift.","{
    ""AI_DESCRIPTION"": ""Vibrant acrylic paint pens in 8 colors. Fast drying, marks on any surface. Safe, water-based ink. Perfect gift for artists!""
}",Amitasha Acrylic Marker Pens For Painting Canvas,Acrylic Marker Pens
Paint Finishes,B07TXW3SC4,5,"https://images-eu.ssl-images-amazon.com/images/I/41gXDpjveKL._AC_UL300_SR300,200_.jpg",4.3,206,280,Best Pick,"This Acrylic Gloss Medium is designed to be mixed with Acrylics to impart a glossy finish to your acrylic painting It is ideal for creating thin glazes, washes and watercolor effects without reducing adhesive qualities or color strength. It enhances the brilliance of acrylics adding vibrancy to your art work . Clean up with water Washes and watercolor effects without reducing adhesive qualities or colour strength package contains :- 1 x Acrylic Medium Gloss 135ml","{
    ""AI_DESCRIPTION"": ""Enhance your acrylic paintings with our Gloss Medium for a vibrant finish. Mix with acrylics for glossy effects. Clean up easily with water.""
}",KABEER ART Acrylic Medium Gloss Finish- 135M,Acrylic Medium Gloss Finish
Paints,B08LTQXVQR,5,"https://images-eu.ssl-images-amazon.com/images/I/61KHDdy+hVL._AC_UL300_SR300,200_.jpg",4.3,743,249,Best Pick,"UNPARALLELED ACRYLIC METALLIC PAINT EXPERIENCE: Dive into GRANOTONE Venezia Metallic Colours and explore a range of shimmering and vibrant shades, uniquely crafted for both budding and experienced artists who crave a premium touch in their artwork. LUSTROUS METALLIC SHINE: Elevate your artwork with the enduring brilliance and non-fading gleam of our acrylic paint. Its metallic finish imparts a sense of luxury, ensuring each creation radiates with lasting intensity and elegance. VERSATILITY AT ITS BEST: From the pearlescent effects of miniature paint projects to the iridescent magic on ceramics, this acrylic paint is adaptable for multiple surfaces including glass, models, and even as a metallic watercolor, offering artists a palette without boundaries. SAFETY AND CREATIVITY HAND-IN-HAND: Prioritizing the well-being of our users, this non-toxic metallic acrylic paint is perfect for children, artists, and beginners alike, ensuring every stroke is free from harm while not compromising on quality. EXPAND YOUR ARTISTIC HORIZONS: Whether you're diving into the world of acrylic pour painting, airbrushing, or crafting, the GRANOTONE Venezia Metallic Colour is your trusted companion, promising a finish that captures the essence of your imagination. DESIGNED FOR EVERY ARTIST'S NEED: Perfectly packaged in a 200ml container, this acrylic paint ensures easy storage and accessibility, complementing professional-grade painting supplies for artists at every level, turning every canvas into a masterpiece.","{
    ""AI_DESCRIPTION"": ""Experience unparalleled acrylic metallic paint with GRANOTONE Venezia Metallic Colours. Elevate your artwork with lustrous shine and lasting brilliance. Versatile, safe, and perfect for all artists. Expand your horizons with this trusted companion in a 200ml container.""
}",GRANOTONE Acrylic Venezia Metallic Colour 200 ML ,Acrylic Metallic Colour
Paints,B07SZN37RP,6,"https://images-eu.ssl-images-amazon.com/images/I/417nqMgK7QL._AC_UL300_SR300,200_.jpg",4.2,2007,152,Best Pick,"Unparalleled Acrylic Metallic Paint Experience: Dive into GRANOTONE Venezia Metallic Colours and explore a range of shimmering and vibrant shades, uniquely crafted for both budding and experienced artists who crave a premium touch in their artwork. Gold Acrylic's Luxurious Brilliance: Immerse your creations in the deep richness and non-fading shimmer of our gold acrylic paint metallic finish, ensuring every artwork stands out with a touch of opulence and lasting vibrancy. Versatility At Its Best: From the pearlescent effects of miniature paint projects to the iridescent magic on ceramics, this acrylic paint is adaptable for multiple surfaces including glass, models, and even as a metallic watercolor, offering artists a palette without boundaries. Safety and Creativity Hand-In-Hand: Prioritizing the well-being of our users, this non-toxic metallic acrylic paint is perfect for children, artists, and beginners alike, ensuring every stroke is free from harm while not compromising on quality. Expand Your Artistic Horizons: Whether you're diving into the world of acrylic pour painting, airbrushing, or crafting, the GRANOTONE Venezia Metallic Colour is your trusted companion, promising a finish that captures the essence of your imagination. Designed For Every Artist's Need: Perfectly packaged in a 50ml container, this acrylic paint ensures easy storage and accessibility, complementing professional-grade painting supplies for artists at every level, turning every canvas into a masterpiece.","{
    ""AI_DESCRIPTION"": ""Experience unparalleled acrylic metallic paint with GRANOTONE Venezia Metallic Colours. Luxurious brilliance for versatile art on any surface. Safe, non-toxic, and perfect for all artists. Expand your horizons with this 50ml container of creativity.""
}",GRANOTONE Acrylic Non Fading & Shimmering Venezia Metallic Colour Paint with Rich Pigments Non Toxic Metallic Colours Ideal for Kids Artist & Beginners Gold 50ml,Acrylic Metallic Colour Paint
Painting Materials,B07SZN37RP,10,"https://images-eu.ssl-images-amazon.com/images/I/71hP1JEHDFL._AC_UL300_SR300,200_.jpg",4.2,2007,152,Best Pick,"Unparalleled Acrylic Metallic Paint Experience: Dive into GRANOTONE Venezia Metallic Colours and explore a range of shimmering and vibrant shades, uniquely crafted for both budding and experienced artists who crave a premium touch in their artwork. Gold Acrylic's Luxurious Brilliance: Immerse your creations in the deep richness and non-fading shimmer of our gold acrylic paint metallic finish, ensuring every artwork stands out with a touch of opulence and lasting vibrancy. Versatility At Its Best: From the pearlescent effects of miniature paint projects to the iridescent magic on ceramics, this acrylic paint is adaptable for multiple surfaces including glass, models, and even as a metallic watercolor, offering artists a palette without boundaries. Safety and Creativity Hand-In-Hand: Prioritizing the well-being of our users, this non-toxic metallic acrylic paint is perfect for children, artists, and beginners alike, ensuring every stroke is free from harm while not compromising on quality. Expand Your Artistic Horizons: Whether you're diving into the world of acrylic pour painting, airbrushing, or crafting, the GRANOTONE Venezia Metallic Colour is your trusted companion, promising a finish that captures the essence of your imagination. Designed For Every Artist's Need: Perfectly packaged in a 50ml container, this acrylic paint ensures easy storage and accessibility, complementing professional-grade painting supplies for artists at every level, turning every canvas into a masterpiece.","{
    ""AI_DESCRIPTION"": ""Experience unparalleled acrylic metallic paint with GRANOTONE Venezia Metallic Colours. Luxurious brilliance in a versatile, non-toxic formula. Perfect for all artists.""
}",GRANOTONE Acrylic Non Fading & Shimmering Venezia Metallic Colour Paint with Rich Pigments Non Toxic Metallic Colours Ideal for Kids Artist & Beginners Gold 50ml,Acrylic Metallic Paint
Mirrors,B096MN21S9,30,"https://images-eu.ssl-images-amazon.com/images/I/71hB1wWMtIS._AC_UL300_SR300,200_.jpg",3.5,171,249,Best Pick,"Function: decorative wall sticker decal makes your home look different, more attractive; For the reflective surface can make your room brighter; The smoother the surface, the clearer the reflection will be Wide application: it could be applied to most smooth and clean surfaces such as walls, doors, windows, closet and so on, suit for living room, children's playroom, dining room, kitchen, gymnasiums, home, office, hallway, porch and many more Note: This is not a real mirror, please do not buy it as a mirror; Please paste on the smooth wall surface, such as for plastic surface, smooth wallpaper, smooth glass, wood surface, tile surface, metal surface, latex paint wall; Please do not use it on powder coated walls; Please make sure the wall is clean, otherwise the sticker will fall after 24 hours; Please note that tear off the protective film on the surface of the wall decal We have many types of stickers, hexagon mirror wall stickers, mirror stickers for wall, wall stickers, stickers for walls of home, wall stickers for bedroom, Night Glow, Radium Stickers, Acrylic Stickers.","{
    ""AI_DESCRIPTION"": ""Decorative wall sticker decal for a brighter room. Apply on smooth surfaces. Not a real mirror. Various types available.""
}",Wall1ders 30 Big Square 4 inch Silver,Acrylic Mirror Stickers for Walls
Wall Mirrors,B096MN21S9,25,"https://images-eu.ssl-images-amazon.com/images/I/71hB1wWMtIS._AC_UL300_SR300,200_.jpg",3.5,171,249,Best Pick,"Function: decorative wall sticker decal makes your home look different, more attractive; For the reflective surface can make your room brighter; The smoother the surface, the clearer the reflection will be Wide application: it could be applied to most smooth and clean surfaces such as walls, doors, windows, closet and so on, suit for living room, children's playroom, dining room, kitchen, gymnasiums, home, office, hallway, porch and many more Note: This is not a real mirror, please do not buy it as a mirror; Please paste on the smooth wall surface, such as for plastic surface, smooth wallpaper, smooth glass, wood surface, tile surface, metal surface, latex paint wall; Please do not use it on powder coated walls; Please make sure the wall is clean, otherwise the sticker will fall after 24 hours; Please note that tear off the protective film on the surface of the wall decal We have many types of stickers, hexagon mirror wall stickers, mirror stickers for wall, wall stickers, stickers for walls of home, wall stickers for bedroom, Night Glow, Radium Stickers, Acrylic Stickers.","{
    ""AI_DESCRIPTION"": ""Make your home shine with our decorative wall sticker decal. Not a real mirror. Easy to apply on smooth surfaces. Various designs available.""
}",Wall1ders 30 Big Square 4 inch Silver,Acrylic Mirror Wall Stickers
Wall Mirrors,B09H7K481C,26,"https://images-eu.ssl-images-amazon.com/images/I/61zflTN4d0L._AC_UL300_SR300,200_.jpg",3.8,494,229,Eco Pick,"Before buying see all images and read manual or product description firstly, Dimension : see 2nd image Material Acrylic 100% New and High Quality. It’s Very light in weight, shatter-proof, safe for kids, Non-toxic, Eco-friendly. Ideal To Decorate Your Bedroom, Living room, Dining Room, Kitchen, Kid’s Room, Nursery, Bathroom, and Office, Entryway, Fridge, Cabinet, Wardrobe, Roof, Resort and hotels, Dance Room, GYM, Training Center, Home Decoration, Window Mirror Sticker, Dressing Decoration Perfect Home Decoration. You can Easily paste on any Flat surfaces. Fashionable Modern art decoration. It Looks Very Shiny. Decorate Your Dream Walls Makes A Great Gift Too Ideal To Decorate home Office Living Room Bedrooms Kids Room Drawing Room","{
    ""AI_DESCRIPTION"": ""Lightweight, shatter-proof acrylic wall decoration. Safe for kids, eco-friendly. Ideal for any room. Easy to paste on flat surfaces. Makes a great gift.""
}",WallDaddy Super Hexagon ,Acrylic Mirror Wall Stickers
Palettes,B087JYVR9H,8,"https://images-eu.ssl-images-amazon.com/images/I/51-pGxVejML._AC_UL300_SR300,200_.jpg",4.4,2513,370,Best Pick,"✅ What You Get: You will get 3pcs acrylic transparent palettes: 1pcs 11.8 * 9.8-inch rectangular transparent palette, 1pcs 11.8 * 7.9-inch oval palette and 1pcs 9.8 * 5.9-inch oval palette. Value set, your best choice. ✅ For Adults & Kids: Transparent palettes of different sizes and shapes are suitable for everyone, adults and children to choose arbitrarily, convert at will, and exert unlimited creative inspiration，you will enjoy a wonderful family time. ✅ Easy to Use & Clean: The palette is made of high-quality transparent acrylic, safe and non-toxic, smooth surface and edge, comfortable to feel, easy to clean and reusable. Pls peel off the protective paper on both sides to get a transparent palette before use. ✅ Unlimited Play & Creation: Painter palette is widely used for oil painting, gouache, acrylic painting, mixed watercolor and other pigments color mixing, suitable for parties, costume parties, home decoration, handicrafts, art courses and other artistic creation. It is the ideal choice for kids, painting lovers, artisans and professional painters. ✅ After-Sales Service: We are committed to providing customers with 100% satisfactory products and services. If you have any questions or questions, please contact us in time, our team will be at your service 24 hours a day. Trust your choice, trust us.","{
    ""AI_DESCRIPTION"": ""Get 3 acrylic palettes in different sizes and shapes for unlimited creativity. Easy to use, clean, and perfect for adults, kids, and artists. Contact us for 24/7 support.""
}",3pcs Acrylic Paint Palette Clear Art Palette for Adults & Kids,Acrylic Paint Palette
Markers,B0CGRCV7BS,30,"https://images-eu.ssl-images-amazon.com/images/I/71hP1JEHDFL._AC_UL300_SR300,200_.jpg",4.3,1295,600,Best Pick,"Great Coverage & Vibrant Color Range : Let Your Imagination Roam Free With Our Awesome Acrylic Paint Pen Set Featuring 24 Eye-Catching Colors. Once Dried On The Painting Surface, Our Acrylic Paint Pen Provides Excellent Coverage, That Covers The Original Color And Won'T Smudge Your Other Paper. Once You’Re Done With Your Project, The Paint Stays Bright As Ever. Easy To Ues : Say Goodbye To The Hassle Of Shaking Your Markers Before Each Use. Our Paint Pens Acrylic Markers Are Designed To Be Ready-To-Go Straight Out Of The Cap. These Pens With New Design, Very Easy To Apply And No Need To Shake And Press Tips Before Using, You Only Need To Open The Cap To Use Pen. Warm Tip: Please Close The Cap After Use, It Can Keep The Pen Ink More Smooth. Multi-Purpose : Enjoy Creating Art Projects On A Variety Of Surfaces, Acrylic Paint Marker Set Suitable For Rock Painting, Ceramic And Mug Painting, Glass Painting, Wood, Fabric, Stone, Metal, Plastic, Canvas, Ornament, Calligraphy, Scrapbook, Bullet Journal, Custom Mugs, Diy Crafts Projects, And Much More For Both Smooth And Porous Surfaces. Non-Toxic & Safe For Kids: Upgrade Your Art Work With Our Pigmented Acrylic Ink. Safe, Smooth, Waterproof After Drying,Non-Toxic,Odourless,Child-Friendly,Eco-Friendly And Ready-To-Go,These Acrylic Paint Markers Set Bring Your Creations To Life Without The Wait. Plus, They'Re Durable And Won'T Fade Over Time. This Paint Pen Is Specially Designed For Kids, Adults, Students, Artists And Professional Designers. Great Gift Ideas - The Paint Markers Pens Will Be A Ideal Diy Gift For Your Family Friends And Colored Stone Lovers On Birthdays, Valentine'S Day For Your Loved Ones, Christmas, New Year Or Special Holidays. Paint Pens Are Wonderful Gift For Kids,New Or Experienced Artists,Colored Stone Lovers,Casual Arts And Crafts Kind Of People.","{
    ""AI_DESCRIPTION"": ""Vibrant acrylic paint pens with great coverage. Easy to use on various surfaces. Non-toxic and safe for kids. Perfect gift idea for art lovers.""
}",FLAIR Creative Series Acrylic Paint Pen Set ,Acrylic Paint Pen Set
Paints,B00LXTFMRS,1,"https://images-eu.ssl-images-amazon.com/images/I/71PwFQgur4L._AC_UL300_SR300,200_.jpg",4.4,10523,217,Best Pick,"Vibrant Colours - Make paintings pop out using the 10 vibrant shades. The Sunflower Acrylic Kit has acrylic colours for creating art and tones that bring out the artistic mood. It lets artists give depth and dimension to their creations Multisurface Use - The Fevicryl Acrylic Sunflower Kit comprises of vibrant painting colours and refined shades that work across a wide variety of mediums. Apply these paints to various surfaces like wood, canvas, leather, terracotta and even fabrics. Non-Toxic and Safe -The colouring kit is safe for use by young artists. The paints are made using non-toxic substances and pose no health risk. The cleanup is also very easy after you're done creating art projects. Very Beginner-Friendly - No need to be an expert artist to use this. Grab a piece of cloth or paper, set up your colouring palette and get ready to have a fun time.","{
    ""AI_DESCRIPTION"": ""Create vibrant art with ease using this beginner-friendly acrylic kit. Safe, non-toxic colours for versatile use on various surfaces.""
}",Fevicryl Acrylic Colours Sunflower Kit ,Acrylic Paint Set
Paints,B00LY1FN1K,30,"https://images-eu.ssl-images-amazon.com/images/I/713ZOOtVAuL._AC_UL300_SR300,200_.jpg",4.4,10822,230,Eco Pick,10 assorted ultra shades in 15ml bottle Confirms to safety standard EN 71 - 3 Camel fabric acrylic colours are permanent on absorbent surfaces,"{
    ""AI_DESCRIPTION"": ""10 assorted ultra shades in 15ml bottle. Conforms to safety standard EN 71 - 3. Camel fabric acrylic colours are permanent on absorbent surfaces.""
}",Camel Acrylic Ultra Color - 15ml Each,Acrylic Paint Set
Adhesive Sheets,B08K4G7GR1,8,"https://images-eu.ssl-images-amazon.com/images/I/71hP1JEHDFL._AC_UL300_SR300,200_.jpg",3.8,485,849,Best Pick,"MULTIPURPOSE- Acrylic sheet Can be used in glass window replacement, outdoor signs, lighting applications, and bending or manipulation ,Home Décor etc. PERFECT FOR DIY PROJECT : Enhance your DIY Project skills by using laser cut studio acrylic sheets and get best results. SAFE SHIPPING - Laser Cut Studio acrylic sheets arrive with Film Mask for Protection from scratches in the Transit. Hence you get sheet with its full shine and scratch less. KEY BENEFITS -Laser Cut Studio Acrylic is stronger and lighter than glass. It has excellent resistance to long-term exposure of outdoor elements. EASY TO USE- Laser Cut Studio Acrylic sheet can easily sawed, routed, drilled, formed, bent and cemented on wall, door, Outside the House etc.","{
    ""AI_DESCRIPTION"": ""Versatile acrylic sheet for DIY projects, with safe shipping and easy use. Stronger and lighter than glass, perfect for home decor.""
}",Laser Cut Studio Acrylic Sheet 3MM White Black Green Red Golden Transparent ,Acrylic Sheet
Adhesives & Removers,B07QN5JSQL,26,"https://images-eu.ssl-images-amazon.com/images/I/71hP1JEHDFL._AC_UL300_SR300,200_.jpg",4,273,209,Eco Pick,"BENEFITS- Acrylic is stronger and lighter than glass, excellent resistance to long-term exposure of outdoor elements<br> EASY USE- Acrylic sheet can easily be sawed, routed, drilled, formed, bent and cemented<br> DURABLE SHIPPING- Our acrylic sheets arrive with Film Mask for Protection from scratches<br> MULTIPURPOSE- Acrylic sheet uses are glass window replacement, outdoor signs, lighting applications, and bending or manipulation.<br>","{
    ""AI_DESCRIPTION"": ""Stronger, lighter acrylic sheet for various uses. Easy to work with, durable shipping, and multipurpose applications.""
}",BIGIMALL Transparent Acrylic Sheet; 1.5 mm 4 x 6 Inch - Pack of 4 Pieces,Acrylic Sheet
Adhesive Sheets,B07K55LVVX,26,"https://images-eu.ssl-images-amazon.com/images/I/71hP1JEHDFL._AC_UL300_SR300,200_.jpg",4,192,269,Best Pick,"BENEFITS- Acrylic is stronger and lighter than glass, excellent resistance to long-term exposure of outdoor elements MULTIPURPOSE- Acrylic sheet uses are glass window, outdoor signs, lighting applications, and bending or manipulation EASY USE- Acrylic sheet can easily be sawed, routed, drilled, formed, bent and cemented Our acrylic sheets arrive with Film Mask for Protection from scratches","{
    ""AI_DESCRIPTION"": ""Stronger, lighter acrylic sheet for various uses. Easy to cut, bend, and protect with film mask.""
}",BIGIMALL 3 mm Acrylic Sheet Circle Perspex Plexiglass ,Acrylic Sheet Circle
Adhesive Sheets,B077CKD9HW,3,"https://images-eu.ssl-images-amazon.com/images/I/71hP1JEHDFL._AC_UL300_SR300,200_.jpg",4.1,1002,268,Best Pick,"BENEFITS- Acrylic is stronger and lighter than glass, excellent resistance to long-term exposure of outdoor elements MULTIPURPOSE- Acrylic sheet uses are glass window replacement, outdoor signs, lighting applications, and bending or manipulation. EASY USE- Acrylic sheet can easily be sawed, routed, drilled, formed, bent and cemented ****VERY IMPPORTANT NOTE- Our acrylic sheets arrive with Film Mask for Protection from scratches.. PLS REMOVE THE PROTECTIVE MASKING FROM BOTH THE SIDES OF THE SHEET BEFORE USE****","{
    ""AI_DESCRIPTION"": ""Stronger, lighter acrylic sheet for various uses. Easy to work with. Remove protective masking before use.""
}","BIGIMALL Acrylic Sheet 3mm Transparent 6""x6"" Pack of 4 pcs for Glass Painting High Gloss ",Acrylic Sheet Pack
Adhesive Sheets,B084VSCMQN,9,"https://images-eu.ssl-images-amazon.com/images/I/71hP1JEHDFL._AC_UL300_SR300,200_.jpg",4,200,283,Best Pick,"Acrylic sheets arrive with Film Mask for Protection from scratches BENEFITS- Acrylic is stronger and lighter than glass, excellent resistance to long-term exposure of outdoor elements MULTIPURPOSE- Acrylic sheet uses are glass window replacement, outdoor signs, lighting applications, and bending or manipulation EASY USE- Acrylic sheet can easily be sawed, routed, drilled, formed, bent and cemented","{
    ""AI_DESCRIPTION"": ""Acrylic sheets with film mask for scratch protection. Stronger and lighter than glass, perfect for various uses. Easy to cut, drill, and shape.""
}","BIGIMALL Acrylic Sheet Clear/Transparent 3MM 12""x12"" for DIY pack of 1 pcs",Acrylic Sheet for DIY
Spray Paint,B002BWOS08,21,"https://images-eu.ssl-images-amazon.com/images/I/71hP1JEHDFL._AC_UL300_SR300,200_.jpg",4.6,2125,1013,Best Pick,"Features of paint and primer in one. Ideal for painting wood furniture, plastic chairs, metallic items, and more. Color: Glossy white. Coverage: One cane covers 8-12 square feet of area. Dries in 20 minutes to touch. Dry heat resistance: 93°C.","{
    ""AI_DESCRIPTION"": ""All-in-one paint & primer for wood, plastic, metal. Glossy white, covers 8-12 sq ft. Dries in 20 mins. Heat resistant up to 93°C.""
}",Rust-Oleum 249090 Painter's Touch Acrylic Spray Paint ,Acrylic Spray Paint
Paint Thinners,B0064B26LU,1,"https://images-eu.ssl-images-amazon.com/images/I/51o6zpc-GXL._AC_UL300_SR300,200_.jpg",4.6,497,1242,Best Pick,,,Vallejo 60ml Acrylic Thinner # 73524,Acrylic Thinner
